imo,vessel_name,gross_tonnage,type,year_build,flag
9329588,HAKATA VOYAGER,7447,Container Ship,2005,Korea (Republic of) (KOR)
9390642,HALCYON,9971,Container Ship,2007,Bahamas (BHS)
9306275,HALIBUT,9957,Container Ship,2005,Liberia (LBR)
9280859,HALIFAX,53453,Container Ship,2004,United Kingdom (GBR)
9200823,HALIFAX EXPRESS,54437,Container Ship,2000,"Hong Kong, China (HKG)"
9332872,HAMBURG BAY,71786,Container Ship,2009,Liberia (LBR)
9461051,HAMBURG EXPRESS,142295,Container Ship,2012,Germany (DEU)
9316098,HAMBURG TRADER,9957,Container Ship,2005,Panama (PAN)
9622019,HAMMONIA AMERICA,47873,Container Ship,2014,Liberia (LBR)
9481532,HAMMONIA BALTICA,28561,Container Ship,2011,Liberia (LBR)
9336177,HAMMONIA BEROLINA,26435,Container Ship,2007,Liberia (LBR)
9326823,HAMMONIA EMDEN,26836,Container Ship,2006,Liberia (LBR)
9280665,HAMMONIA FRANCIA,65247,Container Ship,2004,Liberia (LBR)
9326835,HAMMONIA HUSUM,26836,Container Ship,2006,Liberia (LBR)
9336165,HAMMONIA PALATIUM,26435,Container Ship,2006,Liberia (LBR)
9820271,HAMOUNA,141514,Container Ship,2018,Iran (IRN)
9898187,HAN HAI 7 HAO,11080,Container Ship,2019,China Peoples's Republic (CHN)
9905643,HAN WANG,21188,Container Ship,2019,China Peoples's Republic (CHN)
9566394,HANGZHOU BAY BRIDGE,96790,Container Ship,2012,Panama (PAN)
9376048,HANNA,9981,Container Ship,2008,Cyprus (CYP)
9301938,HANNAH SCHULTE,26671,Container Ship,2006,Singapore (SGP)
9588093,HANOI BRIDGE,96790,Container Ship,2013,Panama (PAN)
9343716,HANOVER EXPRESS,93750,Container Ship,2007,Germany (DEU)
9833008,HANOVER TRADER,18867,Container Ship,2020,Malta (MLT)
9516739,HANSA ALTENBURG,18358,Container Ship,2011,Liberia (LBR)
9459424,HANSA AMERICA,38388,Container Ship,2014,Liberia (LBR)
9459400,HANSA ASIA,38388,Container Ship,2013,Marshall Islands (MHL)
9373474,HANSA AUGSBURG,18327,Container Ship,2008,Liberia (LBR)
9155391,HANSA BREITENBURG,18335,Container Ship,2003,Liberia (LBR)
9357860,HANSA CLOPPENBURG,18327,Container Ship,2007,Liberia (LBR)
9334820,HANSA COBURG,18327,Container Ship,2007,Liberia (LBR)
9357858,HANSA DRAKENBURG,18327,Container Ship,2007,Liberia (LBR)
9535096,HANSA DUBURG,18296,Container Ship,2012,Malta (MLT)
9459412,HANSA EUROPE,38388,Container Ship,2012,Liberia (LBR)
9435246,HANSA FALKENBURG,18327,Container Ship,2008,Liberia (LBR)
9155365,HANSA FLENSBURG,18335,Container Ship,2000,Germany (DEU)
9535101,HANSA FRESENBURG,18296,Container Ship,2013,Liberia (LBR)
9256389,HANSA FREYBURG,18334,Container Ship,2003,Liberia (LBR)
