imo,vessel_name,gross_tonnage,type,year_built,flag
9470961,SONGA BONN,21842,Container Ship,2010,Liberia (LBR)
9477309,SONGA CALABRIA,40541,Container Ship,2010,Liberia (LBR)
9392561,SONGA HAYDN,35981,Container Ship,2010,Liberia (LBR)
9337030,SONGA IRIDIUM,23633,Container Ship,2008,Liberia (LBR)
9470973,SONGA NUERNBERG,21842,Container Ship,2010,Liberia (LBR)
9359674,SOUTHERN MOANA,9725,Container Ship,2008,Singapore (SGP)
9429314,SPECTRUM N,26435,Container Ship,2009,Liberia (LBR)
9333058,SPHENE,35573,Container Ship,2007,Marshall Islands (MHL)
9355460,SPICA J,8246,Container Ship,2007,Antigua and Barbuda (ATG)
9418640,SPIL CAYA,35998,Container Ship,2009,Indonesia (IDN)
9392559,SPIL CITRA,35981,Container Ship,2009,Indonesia (IDN)
9367803,SPIL NIRMALA,26638,Container Ship,2008,Indonesia (IDN)
9337028,SPINEL,23633,Container Ship,2007,Portugal (MAR) (PMD)
9302255,SPIRIT,7713,Container Ship,2005,Netherlands (NLD)
9360752,SPIRIT OF AUCKLAND,41483,Container Ship,2007,Isle of Man (IMN)
9366512,SPIRIT OF DUBAI,10308,Container Ship,2009,Portugal (MAR) (PMD)
9391660,SPIRIT OF HAMBURG,41483,Container Ship,2007,Isle of Man (IMN)
9431800,SPIRIT OF LISBON,41399,Container Ship,2010,Marshall Islands (MHL)
9362413,SPIRIT OF MELBOURNE,41483,Container Ship,2007,Isle of Man (IMN)
9362401,SPIRIT OF SHANGHAI,41483,Container Ship,2007,Isle of Man (IMN)
9362396,SPIRIT OF SINGAPORE,41483,Container Ship,2007,Isle of Man (IMN)
9391672,SPIRIT OF SYDNEY,41483,Container Ship,2007,Isle of Man (IMN)
9346574,SSL KOLKATA,9956,Container Ship,2006,India (IND)
9532276,ST ISLAND,27061,Container Ship,2010,Liberia (LBR)
9320049,STADT DRESDEN,27971,Container Ship,2006,Portugal (MAR) (PMD)
9365154,STAR APEX,9522,Container Ship,2006,Korea (Republic of) (KOR)
9448437,STAR CLIPPER,9520,Container Ship,2010,Marshall Islands (MHL)
9545015,STAR EXPRESS,9520,Container Ship,2010,Marshall Islands (MHL)
9545003,STAR PIONEER,9520,Container Ship,2010,Marshall Islands (MHL)
9448839,STAR SKIPPER,9520,Container Ship,2010,Marshall Islands (MHL)
9360996,STEEN,8032,Container Ship,2008,Cyprus (CYP)
9461594,STEFAN SIBUM,10585,Container Ship,2008,Cyprus (CYP)
9550369,STELLAR WALVIS BAY,17280,Container Ship,2010,Panama (PAN)
9550307,STELLAR WINDSOR,17280,Container Ship,2009,Panama (PAN)
9256327,SUDEROOG,15633,Container Ship,2005,Gibraltar (GIB)
