imo,vessel_name,gross_tonnage,type,year_build,flag
9851751,AALBORG WHITE,2627,Cement Carrier,2019,Cyprus (CYP)
9592446,AANYA,93693,Bulk Carrier,2012,Panama (PAN)
9592458,AASHNA,93693,Bulk Carrier,2012,Panama (PAN)
9571040,ABDALA,22414,Bulk Carrier,2011,Panama (PAN)
9428190,ABG 288,32456,Bulk Carrier,2011,Singapore (SGP)
9442952,ABG 291,32456,Bulk Carrier,2015,Cyprus (CYP)
9589279,ABG 378,15000,Cement Carrier,2021,Singapore (SGP)
9655212,ABTENAUER,24163,Bulk Carrier,2014,Marshall Islands (MHL)
9494022,ABU AL ABYAD,33202,Bulk Carrier,2011,Liberia (LBR)
9646728,ABYSSINIAN,24247,Bulk Carrier,2014,Marshall Islands (MHL)
9597642,ACACIA,21194,Bulk Carrier,2011,Singapore (SGP)
9575137,ACHILLEAS,35812,Bulk Carrier,2012,Marshall Islands (MHL)
9490789,ACHILLEAS S.,32839,Bulk Carrier,2010,Liberia (LBR)
9693410,ACRA,44192,Bulk Carrier,2016,Liberia (LBR)
9808663,ACTION TRADER,25189,Bulk Carrier,2017,Philippines (PHL)
9696400,AD ASTRA,44074,Bulk Carrier,2015,Marshall Islands (MHL)
9727156,ADA,43729,Bulk Carrier,2016,Malta (MLT)
9469508,ADAM I,43717,Bulk Carrier,2010,Malta (MLT)
9539432,ADAPEARL,7404,Bulk Carrier,2011,Liberia (LBR)
9539339,ADAVEGA,7404,Bulk Carrier,2010,Liberia (LBR)
9597109,ADELANTE,44544,Bulk Carrier,2012,Bahamas (BHS)
9595785,ADELINA,22223,Bulk Carrier,2012,Malta (MLT)
9492440,ADIRONDACK,33044,Bulk Carrier,2010,Philippines (PHL)
9838838,ADMIRAL SCHMIDT,66291,Bulk Carrier,2019,Bahamas (BHS)
9727467,ADRIANA ROSE,43006,Bulk Carrier,2016,Panama (PAN)
9589085,ADRIATIC PEARL,24196,Bulk Carrier,2012,Liberia (LBR)
9832509,ADRIENNE,21546,Bulk Carrier,2020,Liberia (LBR)
9881639,ADVAITA,14513,Cement Carrier,2020,India (IND)
9414785,ADVANCING FOX,6700,Bulk Carrier,2013,Panama (PAN)
9805776,ADVENTURE III,35210,Bulk Carrier,2019,Singapore (SGP)
9577898,ADVENTURER,20924,Bulk Carrier,2011,Marshall Islands (MHL)
9805752,ADVENTURER,35210,Bulk Carrier,2017,Liberia (LBR)
9670066,AEGEAN CLOVER,107060,Bulk Carrier,2013,Japan (JPN)
9650626,AENEAS,41104,Bulk Carrier,2013,Panama (PAN)
9585730,AENEAS,44113,Bulk Carrier,2011,Marshall Islands (MHL)
9736157,AEOLIA,35812,Bulk Carrier,2016,Liberia (LBR)
9671814,AEOLIAN ARROW,44190,Bulk Carrier,2018,Cyprus (CYP)
9461192,AEOLIAN FORTUNE,43012,Bulk Carrier,2011,Cyprus (CYP)
9483542,AEOLIAN HERITAGE,43767,Bulk Carrier,2011,Marshall Islands (MHL)
9483554,AEOLIAN VISION,43767,Bulk Carrier,2011,Marshall Islands (MHL)
9670901,AEOLOS,36362,Bulk Carrier,2015,Liberia (LBR)
9681546,AERIKO,35812,Bulk Carrier,2013,Marshall Islands (MHL)
9841964,AESCHYLUS GRAECIA,44095,Bulk Carrier,2019,Cyprus (CYP)
9425813,AETOLIA,32210,Bulk Carrier,2010,Barbados (BRB)
9619555,AFALES,91407,Bulk Carrier,2012,Malta (MLT)
9585015,AFINA I,8887,Bulk Carrier,2010,Malta (MLT)
9727297,AFRICAN ARROW,34778,Bulk Carrier,2015,Panama (PAN)
9738870,AFRICAN AVOCET,34769,Bulk Carrier,2015,Bahamas (BHS)
9782948,AFRICAN BARI BIRD,35832,Bulk Carrier,2017,Marshall Islands (MHL)
9688219,AFRICAN BATELEUR,38203,Bulk Carrier,2015,Panama (PAN)
9806110,AFRICAN BATIS,38238,Bulk Carrier,2019,Panama (PAN)
9738753,AFRICAN BAZA,34815,Bulk Carrier,2015,Bahamas (BHS)
9688221,AFRICAN BLACKBIRD,38453,Bulk Carrier,2015,Panama (PAN)
9720225,AFRICAN BUZZARD,38203,Bulk Carrier,2014,Panama (PAN)
9856919,AFRICAN CARDINAL,34634,Bulk Carrier,2019,Panama (PAN)
